unit,sex,age,icd10,resid,time\geo	EU28 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	NO 	CH 	RS 	TR 
NR,F,TOTAL,A-R_V-Y,TOT_IN,2011	2443842 	53025 	51360 	52752 	26534 	444945 	7762 	13964 	53100 	188057 	267926 	25994 	305631 	2628 	14715 	19933 	1931 	64912 	1619 	70197 	39758 	177541 	50411 	119262 	9476 	24975 	25198 	46161 	284075 	21266 	32274 	50750 	140515 
NR,F,TOTAL,A-R_V-Y,TOT_RESID,2011	2441803 	52580 	51367 	52649 	26512 	445460 	7748 	13934 	52948 	187577 	267908 	25861 	304691 	2590 	14698 	19941 	1933 	64782 	1602 	70150 	39605 	177466 	50353 	119509 	9456 	25033 	25202 	46184 	284064 	21310 	31954 	50799 	140181 
NR,F,TOTAL,A15-A19_B90,TOT_IN,2011	1608 	22 	32 	19 	5 	154 	6 	14 	24 	96 	290 	28 	159 	1 	16 	39 	2 	41 	1 	17 	20 	138 	58 	231 	5 	6 	33 	26 	125 	11 	10 	40 	209 
NR,F,TOTAL,A15-A19_B90,TOT_RESID,2011	1604 	20 	32 	19 	5 	154 	6 	14 	23 	96 	289 	28 	159 	1 	16 	39 	2 	41 	1 	17 	20 	138 	58 	231 	5 	6 	33 	26 	125 	11 	10 	40 	207 
NR,F,TOTAL,ACC,TOT_IN,2011	59765 	1904 	409 	1428 	638 	8628 	175 	337 	676 	4001 	11531 	866 	8514 	64 	284 	534 	71 	1590 	19 	2032 	1079 	3976 	532 	1797 	385 	396 	920 	1244 	5735 	856 	1177 	410 	3276 
NR,F,TOTAL,ACC,TOT_RESID,2011	59610 	1882 	407 	1428 	638 	8708 	174 	327 	643 	3939 	11540 	846 	8428 	53 	283 	537 	71 	1572 	19 	2034 	1052 	3980 	524 	1831 	381 	398 	919 	1246 	5750 	859 	1168 	416 	3243 
NR,F,TOTAL,ACC_OTH,TOT_IN,2011	24513 	860 	141 	741 	222 	1942 	48 	89 	110 	2132 	6098 	105 	5538 	28 	133 	193 	32 	326 	: 	820 	479 	734 	145 	505 	30 	96 	115 	628 	2223 	515 	154 	116 	791 
NR,F,TOTAL,ACC_OTH,TOT_RESID,2011	24481 	850 	140 	737 	223 	1956 	48 	87 	108 	2118 	6106 	105 	5513 	26 	133 	193 	32 	323 	: 	825 	474 	734 	145 	511 	28 	97 	116 	629 	2224 	516 	145 	116 	788 
NR,F,TOTAL,A_B,TOT_IN,2011	37137 	1324 	189 	718 	424 	9146 	36 	125 	39 	3112 	5964 	135 	5720 	45 	90 	199 	44 	318 	15 	1157 	356 	1317 	1007 	658 	44 	112 	214 	1088 	3541 	515 	412 	187 	2304 
NR,F,TOTAL,A_B,TOT_RESID,2011	37079 	1304 	189 	714 	423 	9149 	36 	126 	38 	3102 	5966 	135 	5700 	43 	90 	199 	44 	319 	15 	1157 	356 	1319 	1004 	661 	43 	114 	214 	1088 	3531 	515 	406 	187 	2295 
NR,F,TOTAL,A_B_OTH,TOT_IN,2011	30999 	1230 	145 	642 	408 	8393 	14 	100 	15 	2396 	5243 	95 	3748 	38 	36 	148 	41 	254 	10 	1115 	179 	1028 	783 	328 	38 	103 	177 	1036 	3256 	498 	360 	125 	1706 
NR,F,TOTAL,A_B_OTH,TOT_RESID,2011	30970 	1213 	145 	640 	407 	8395 	14 	101 	15 	2390 	5247 	95 	3740 	37 	36 	148 	41 	254 	10 	1114 	179 	1030 	783 	328 	37 	104 	177 	1036 	3254 	498 	357 	125 	1701 
NR,F,TOTAL,B15-B19_B942,TOT_IN,2011	983 	17 	2 	3 	2 	85 	12 	4 	5 	197 	114 	1 	190 	1 	22 	3 	: 	2 	: 	9 	14 	35 	124 	81 	: 	: 	1 	9 	50 	2 	15 	6 	6 
NR,F,TOTAL,B15-B19_B942,TOT_RESID,2011	969 	16 	2 	2 	2 	85 	12 	4 	5 	194 	115 	1 	181 	: 	22 	3 	: 	3 	: 	9 	14 	35 	122 	83 	: 	: 	1 	9 	49 	2 	13 	6 	5 
NR,F,TOTAL,B20-B24,TOT_IN,2011	3551 	55 	9 	54 	9 	514 	4 	7 	: 	423 	317 	11 	1623 	5 	16 	9 	1 	21 	4 	16 	143 	116 	42 	18 	1 	3 	3 	17 	110 	4 	27 	16 	383 
NR,F,TOTAL,B20-B24,TOT_RESID,2011	3540 	55 	9 	53 	9 	515 	4 	7 	: 	422 	315 	11 	1620 	5 	16 	9 	1 	21 	4 	17 	143 	116 	41 	19 	1 	4 	3 	17 	103 	4 	26 	16 	382 
NR,F,TOTAL,C,TOT_IN,2011	563250 	12258 	7015 	12193 	7363 	101875 	1704 	4074 	10626 	40549 	64718 	5798 	73177 	494 	2735 	3586 	481 	14680 	404 	19945 	9466 	40667 	10415 	19481 	2607 	5413 	5488 	10354 	75684 	5022 	7396 	8922 	23049 
NR,F,TOTAL,C,TOT_RESID,2011	562778 	12183 	7021 	12164 	7363 	101968 	1702 	4061 	10602 	40495 	64646 	5785 	72969 	491 	2733 	3585 	477 	14660 	402 	19927 	9427 	40664 	10407 	19534 	2604 	5435 	5488 	10355 	75630 	5027 	7280 	8925 	22997 
NR,F,TOTAL,C00-C14,TOT_IN,2011	7035 	133 	76 	142 	93 	1322 	21 	47 	86 	547 	901 	67 	888 	5 	42 	35 	11 	281 	: 	204 	128 	511 	124 	247 	29 	87 	65 	115 	828 	59 	103 	111 	256 
NR,F,TOTAL,C00-C14,TOT_RESID,2011	7033 	133 	76 	142 	93 	1325 	21 	47 	86 	548 	903 	67 	884 	5 	42 	35 	11 	281 	: 	204 	127 	511 	123 	247 	29 	87 	65 	115 	826 	59 	99 	111 	255 
NR,F,TOTAL,C00-D48,TOT_IN,2011	583290 	12747 	7063 	12392 	7499 	105462 	1738 	4166 	10632 	42350 	68116 	5906 	76917 	514 	2789 	3664 	494 	14991 	410 	20607 	9838 	42484 	10676 	19638 	2636 	5479 	5671 	10880 	77531 	5159 	7694 	9103 	23696 
