"","Code.INSEE","Code.Postal","Commune","Code.Departement","Code.Region"
"199","68225","68740","MUNCHHOUSE","68",42
"229","68164","68240","KIENTZHEIM","68",42
"322","68044","68650","LE BONHOMME","68",42
"408","68112","68500","GUEBWILLER","68",42
"703","68152","68720","ILLFURTH","68",42
"840","68297","68300","SAINT-LOUIS","68",42
"1165","68263","68730","RANSPACH-LE-BAS","68",42
"1254","68258","68840","PULVERSHEIM","68",42
"1315","68141","68720","HOCHSTATT","68",42
"1322","68308","68290","SICKERT","68",42
"1414","68032","68500","BERRWILLER","68",42
"1491","68256","68120","PFASTATT","68",42
"1563","68355","68640","WALDIGHOFEN","68",42
"1702","68021","68870","BARTENHEIM","68",42
"1757","68176","68580","LARGITZEN","68",42
"1930","68109","68140","GRIESBACH-AU-VAL","68",42
"1953","68342","68700","UFFHOLTZ","68",42
"2130","68298","68160","SAINTE-MARIE-AUX-MINES","68",42
"2140","68328","68470","STORCKENSOHN","68",42
"2143","68276","68500","RIMBACHZELL","68",42
"2212","68347","68480","VIEUX-FERRETTE","68",42
"2265","68254","68490","PETIT-LANDAU","68",42
"2490","68069","68600","DESSENHEIM","68",42
"2551","68223","68380","MUHLBACH-SUR-MUNSTER","68",42
"2576","68060","68520","BURNHAUPT-LE-HAUT","68",42
"2774","68337","68210","TRAUBACH-LE-HAUT","68",42
"2875","68350","68420","VOEGTLINSHOFFEN","68",42
"2882","68158","68130","JETTINGEN","68",42
"3116","68376","68270","WITTENHEIM","68",42
"3144","68279","68800","RODEREN","68",42
"3155","68087","68640","FELDBACH","68",42
"3265","68244","68420","OBERMORSCHWIHR","68",42
"3304","68246","68600","OBERSAASHEIM","68",42
"3374","68212","68480","MOERNACH","68",42
"3397","68116","68250","GUNDOLSHEIM","68",42
"3459","68341","68510","UFFHEIM","68",42
"3519","68035","68480","BIEDERTHAL","68",42
"3661","68094","68220","FOLGENSBOURG","68",42
"3947","68042","68730","BLOTZHEIM","68",42
"3964","68330","68580","STRUETH","68",42
"4344","68156","68500","ISSENHEIM","68",42
"4448","68206","68700","MICHELBACH","68",42
"4549","68318","68570","SOULTZMATT","68",42
"4625","68255","68250","PFAFFENHEIM","68",42
"4966","68090","68480","FERRETTE","68",42
"5000","68207","68730","MICHELBACH-LE-BAS","68",42
"5119","68209","68630","MITTELWIHR","68",42
"5163","68249","68370","ORBEY","68",42
"5195","68070","68350","DIDENHEIM","68",42
"5367","68037","68127","BILTZHEIM","68",42
"5411","68054","68870","BRINCKHEIM","68",42
"5681","68252","68150","OSTHEIM","68",42
"5734","68303","68130","SCHWOBEN","68",42
"5745","68315","68360","SOULTZ-HAUT-RHIN","68",42
"5803","68294","68160","SAINTE-CROIX-AUX-MINES","68",42
"5887","68147","68150","HUNAWIHR","68",42
"6085","68041","68740","BLODELSHEIM","68",42
"6106","68275","68290","RIMBACH-PRES-MASEVAUX","68",42
"6248","68321","68850","STAFFELFELDEN","68",42
"6329","68312","68480","SONDERSDORF","68",42
"6527","68132","68510","HELFRANTZKIRCH","68",42
"6547","68134","68420","HERRLISHEIM-PRES-COLMAR","68",42
"6554","68313","68780","SOPPE-LE-BAS","68",42
"6686","68187","68480","LINSDORF","68",42
"6786","68139","68118","HIRTZBACH","68",42
"6812","68074","68480","DURLINSDORF","68",42
"6855","68061","68220","BUSCHWILLER","68",42
"6883","68107","68210","GOMMERSDORF","68",42
"6981","68273","68640","RIESPACH","68",42
"7103","68217","68690","MOOSCH","68",42
"7127","68216","68580","MOOSLARGUE","68",42
"7188","68111","68420","GUEBERSCHWIHR","68",42
"7194","68259","68480","RAEDERSDORF","68",42
"7245","68129","68990","HEIMSBRUNN","68",42
"7277","68269","68150","RIBEAUVILLE","68",42
"7315","68199","68550","MALMERSPACH","68",42
"7553","68356","68130","WALHEIM","68",42
"7694","68027","68130","BERENTZWILLER","68",42
"7785","68195","68460","LUTTERBACH","68",42
"7828","68336","68210","TRAUBACH-LE-BAS","68",42
"7892","68343","68190","UNGERSHEIM","68",42
"8026","68016","68740","BALGAU","68",42
"8090","68270","68120","RICHWILLER","68",42
"8100","68307","68290","SEWEN","68",42
"8265","68018","68210","BALSCHWILLER","68",42
"8613","68291","68740","RUMERSHEIM-LE-HAUT","68",42
"8671","68072","68440","DIETWILLER","68",42
"8688","68251","68570","OSENBACH","68",42
"8795","68286","68128","ROSENAU","68",42
"8883","68261","68800","RAMMERSMATT","68",42
"8943","68073","68290","DOLLEREN","68",42
"8962","68123","68420","HATTSTATT","68",42
"9066","68045","68290","BOURBACH-LE-BAS","68",42
"9145","68121","68220","HAGENTHAL-LE-HAUT","68",42
"9177","68131","68130","HEIWILLER","68",42
"9279","68062","68130","CARSPACH","68",42
"9296","68219","68780","MORTZWILLER","68",42
"9356","68382","68130","ZAESSINGUE","68",42
"9725","68232","68220","NEUWILLER","68",42
"9745","68144","68490","HOMBOURG","68",42
"9751","68025","68480","BENDORF","68",42
"9848","68124","68130","HAUSGAUEN","68",42
"9933","68331","68280","SUNDHOFFEN","68",42
"10026","68379","68600","WOLFGANTZEN","68",42
"10100","68260","68190","RAEDERSHEIM","68",42
"10188","68267","68950","REININGUE","68",42
"10316","68322","68700","STEINBACH","68",42
"10366","68364","68250","WESTHALTEN","68",42
"10398","68214","68210","MONTREUX-JEUNE","68",42
"10552","68361","68290","WEGSCHEID","68",42
"10593","68227","68320","MUNTZENHEIM","68",42
"10899","68281","68740","ROGGENHOUSE","68",42
"11034","68205","68890","MEYENHEIM","68",42
"11072","68345","68320","URSCHENHEIM","68",42
