"","Code.INSEE","Code.Postal","Commune","Code.Département","Code.Région"
"1","39007","39270","ALIEZE","39",43
"2","88086","88600","CHAMP-LE-DUC","88",41
"3","62627","62490","NOYELLES-SOUS-BELLONNE","62",31
"4","14020","14370","ARGENCES","14",25
"5","11091","11230","CHALABRE","11",91
"6","26317","26110","SAINT-MAURICE-SUR-EYGUES","26",82
"7","12222","12400","SAINT-FELIX-DE-SORGUES","12",73
"8","52121","52000","CHAUMONT","52",21
"9","93051","93160","NOISY-LE-GRAND","93",11
"10","11201","11250","LEUC","11",91
"11","62312","62170","ESTREE","62",31
"12","49012","49540","AUBIGNE-SUR-LAYON","49",52
"13","36144","36800","NURET-LE-FERRON","36",24
"14","32394","32300","SAINT-MEDARD","32",73
"15","63173","63600","GRANDRIF","63",83
"16","10042","10160","BERULLE","10",21
"17","25086","25640","BRAILLANS","25",43
"18","76318","76170","GRAND-CAMP","76",23
"19","39240","39130","LE FRASNOIS","39",43
"20","54064","54480","BERTRAMBOIS","54",41
"21","19031","19100","BRIVE-LA-GAILLARDE","19",74
"22","57396","57160","LESSY","57",41
"23","88136","88000","DOGNEVILLE","88",41
"24","33451","33126","SAINT-MICHEL-DE-FRONSAC","33",72
"25","74186","74600","MONTAGNY-LES-LANCHES","74",82
"26","35295","35750","SAINT-MAUGAN","35",53
"27","73142","73210","LANDRY","73",82
"28","16383","16560","TOURRIERS","16",54
"29","01230","01560","MANTENAY-MONTLIN","01",82
"30","46075","46100","CORN","46",73
"31","48028","48400","LES BONDONS","48",91
"32","27127","27400","CANAPPEVILLE","27",23
"33","81014","81260","ANGLES","81",73
"34","16304","16100","SAINT-BRICE","16",54
"35","07315","07380","LA SOUCHE","07",82
"36","24270","24330","MILHAC-D'AUBEROCHE","24",72
"37","46106","46600","FLOIRAC","46",73
"38","52147","52200","COURCELLES-EN-MONTAGNE","52",21
"39","60683","60620","VILLERS-SAINT-GENEST","60",22
"40","02499","02000","MONTBAVIN","02",22
"41","08403","08300","SAULT-LES-RETHEL","08",21
"42","08030","08380","AUGE","08",21
"43","42157","42640","NOAILLY","42",82
"44","76364","76780","HODENG-HODENGER","76",23
"45","72169","72210","LOUPLANDE","72",52
"46","19092","19300","LE JARDIN","19",74
"47","18270","18190","VALLENAY","18",24
"48","24524","24260","SAVIGNAC-DE-MIREMONT","24",72
"49","24236","24110","LEGUILLAC-DE-L'AUCHE","24",72
"50","73164","73100","MONTCEL","73",82
"51","62721","62120","ROQUETOIRE","62",31
"52","31331","31460","MAUREVILLE","31",73
"53","49305","49500","SAINT-MARTIN-DU-BOIS","49",52
"54","17472","17230","VILLEDOUX","17",54
"55","28130","28250","DIGNY","28",24
"56","09136","09400","GOURBIT","09",73
"57","45036","45290","BOISMORAND","45",24
"58","63299","63420","RENTIERES","63",83
"59","81223","81240","LE RIALET","81",73
"60","37022","37420","BEAUMONT-EN-VERON","37",24
"61","88182","88490","FRAPELLE","88",41
"62","23140","23200","MOUTIER-ROZEILLE","23",74
"63","51080","51290","BRANDONVILLERS","51",21
"64","50190","50310","FONTENAY-SUR-MER","50",25
"65","62492","62990","LEBIEZ","62",31
"66","30250","30360","SAINT-ETIENNE-DE-L'OLM","30",91
"67","19039","19320","CHAMPAGNAC-LA-NOAILLE","19",74
"68","60423","60150","MONTMACQ","60",22
"69","07088","07230","FAUGERES","07",82
"70","37054","37390","CHANCEAUX-SUR-CHOISILLE","37",24
"71","95428","95160","MONTMORENCY","95",11
"72","65436","65350","SOUYEAUX","65",73
"73","11316","11230","RIVEL","11",91
"74","46101","46270","FELZINS","46",73
"75","88473","88320","TIGNECOURT","88",41
"76","31164","31480","DRUDAS","31",73
"77","45096","45290","LES CHOUX","45",24
"78","23262","23140","VIGEVILLE","23",74
"79","21139","21210","CHAMPEAU-EN-MORVAN","21",26
"80","49117","49800","LA DAGUENIERE","49",52
"81","74239","74450","SAINT-JEAN-DE-SIXT","74",82
"82","24076","24260","CAMPAGNE","24",72
"83","83102","83630","REGUSSE","83",93
"84","60594","60380","SAINT-QUENTIN-DES-PRES","60",22
"85","18269","18260","VAILLY-SUR-SAULDRE","18",24
"86","74100","74270","DESINGY","74",82
"87","25242","25640","FLAGEY-RIGNEY","25",43
"88","34137","34800","LIAUSSON","34",91
"89","33409","33760","SAINT-GENIS-DU-BOIS","33",72
"90","21499","21400","POTHIERES","21",26
"91","06151","06450","UTELLE","06",93
"92","72064","72310","LA CHAPELLE-HUON","72",52
"93","23015","23160","AZERABLES","23",74
"94","83075","83340","LES MAYONS","83",93
"95","40285","40400","SAINT-YAGUEN","40",72
"96","51402","51310","NEUVY","51",21
"97","57734","57560","VOYER","57",41
"98","52248","52140","IS-EN-BASSIGNY","52",21
"99","55118","55110","CLERY-LE-GRAND","55",41
"100","31499","31470","SAINT-LYS","31",73
"101","88089","88600","LA CHAPELLE-DEVANT-BRUYERES","88",41
"102","14571","14100","SAINT-DENIS-DE-MAILLOC","14",25
"103","14097","14190","BRETTEVILLE-LE-RABET","14",25
"104","80213","80440","COTTENCHY","80",22
"105","28411","28150","VILLARS","28",24
"106","51478","52100","SAINT-EULIEN","51",21
"107","19257","19190","SERILHAC","19",74
"108","22019","22170","BRINGOLO","22",53
"109","15118","15250","MARMANHAC","15",83
"110","57638","57350","SCHOENECK","57",41
"111","57359","57920","KEMPLICH","57",41
"112","39460","39200","LA RIXOUSE","39",43
"113","14213","14220","CURCY-SUR-ORNE","14",25
"114","55195","55500","FOUCHERES-AUX-BOIS","55",41
"115","77363","77181","LE PIN","77",11
"116","92026","92400","COURBEVOIE","92",11
"117","28204","28220","LANGEY","28",24
"118","62754","62128","SAINT-LEGER","62",31
"119","01179","01290","GRIEGES","01",82
"120","57136","57320","CHEMERY-LES-DEUX","57",41
"121","79135","79200","GOURGE","79",54
"122","60466","60130","NOROY","60",22
"123","24319","24310","PAUSSAC-ET-SAINT-VIVIEN","24",72
"124","54233","54450","GONDREXON","54",41
"125","07226","07310","SAINT-CLEMENT","07",82
"126","65040","65100","ASPIN-EN-LAVEDAN","65",73
"127","27685","27330","LA VIEILLE-LYRE","27",23
"128","88277","88110","LUVIGNY","88",41
"129","89041","89570","BEUGNON","89",26
"130","21257","21450","ETORMAY","21",26
"131","19019","19120","BEAULIEU-SUR-DORDOGNE","19",74
"132","27139","27250","CHAMBORD","27",23
"133","07103","07310/07320","INTRES","07",82
"134","45313","45410","SOUGY","45",24
"135","08310","08250","MOURON","08",21
"136","62860","62127","VILLERS-SIR-SIMON","62",31
"137","30355","30330","SAINT-PAUL-LES-FONTS","30",91
"138","47099","47260","FONGRAVE","47",72
"139","89442","89150","VERNOY","89",26
"140","72007","72370","ARDENAY-SUR-MERIZE","72",52
"141","36187","36170","SAINT-CIVRAN","36",24
"142","03095","03300","CUSSET","03",83
"143","73234","73340","SAINT-FRANCOIS-DE-SALES","73",82
"144","54594","54470","XAMMES","54",41
"145","57129","57640","CHARLY-ORADOUR","57",41
"146","57300","57850","HASELBOURG","57",41
"147","2B042","20290","BORGO","2B",94
"148","65159","65250","ESCALA","65",73
"149","70315","70800","MAGNONCOURT","70",43
"150","78402","78970","MEZIERES-SUR-SEINE","78",11
"151","86123","86470","LAVAUSSEAU","86",54
"152","51172","51350","CORMONTREUIL","51",21
"153","10050","10140","BOSSANCOURT","10",21
"154","76086","76890","BERTRIMONT","76",23
"155","17288","17400","POURSAY-GARNAUD","17",54
"156","54412","54260","OTHE","54",41
"157","58194","58000","NEVERS","58",26
"158","08364","08130","RILLY-SUR-AISNE","08",21
"159","26270","26190","ROCHECHINARD","26",82
"160","24274","24240","MONBAZILLAC","24",72
"161","38448","38370","SAINT-PRIM","38",82
"162","54067","54620","BEUVEILLE","54",41
"163","27095","27800","BOSROBERT","27",23
"164","54263","54310","HOMECOURT","54",41
"165","07291","07700","SAINT-REMEZE","07",82
"166","45055","45310","BRICY","45",24
"167","56262","56400","BONO","56",53
"168","77065","77930","CELY","77",11
"169","41092","41120","FOUGERES-SUR-BIEVRE","41",24
"170","09114","09200","ERP","09",73
"171","62115","62123","BERNEVILLE","62",31
"172","33506","33540","SAUVETERRE-DE-GUYENNE","33",72
"173","62014","62120","AIRE-SUR-LA-LYS","62",31
"174","74243","74160","SAINT-JULIEN-EN-GENEVOIS","74",82
"175","42001","42380","ABOEN","42",82
"176","62723","62870","ROUSSENT","62",31
"177","53159","53150","MONTOURTIER","53",52
"178","08482","08430","VILLERS-SUR-LE-MONT","08",21
"179","49085","49600","LA CHAUSSAIRE","49",52
"180","91249","91470","FORGES-LES-BAINS","91",11
"181","05040","05230","CHORGES","05",93
"182","58117","58600","FOURCHAMBAULT","58",26
"183","28275","28210","NERON","28",24
"184","39264","39190","GRUSSE","39",43
"185","14677","14700","SOULANGY","14",25
"186","64072","64290","AUBERTIN","64",72
"187","60583","60155","SAINT-LEGER-EN-BRAY","60",22
"188","26289","26340","SAILLANS","26",82
"189","03029","03260","BILLY","03",83
"190","47285","47250","SAMAZAN","47",72
"191","67441","67350","SCHALKENDORF","67",42
"192","10230","10600","MERGEY","10",21
"193","18181","18290","PLOU","18",24
"194","84077","84330","MODENE","84",93
"195","65127","65130","CAPVERN","65",73
"196","14729","14170","VAUDELOGES","14",25
"197","01410","01580","SONTHONNAX-LA-MONTAGNE","01",82
"198","61018","61470","AVERNES-SAINT-GOURGON","61",25
"199","68225","68740","MUNCHHOUSE","68",42
"200","40329","40270","LE VIGNAU","40",72
"201","71288","71250","MASSY","71",26
"202","51069","51170","BLIGNY","51",21
"203","49283","49170","SAINT-GEORGES-SUR-LOIRE","49",52
"204","67094","67650","DIEFFENTHAL","67",42
"205","91232","91590","LA FERTE-ALAIS","91",11
"206","31028","31420","AURIGNAC","31",73
"207","05054","05500","LA FARE-EN-CHAMPSAUR","05",93
"208","91602","91580","SOUZY-LA-BRICHE","91",11
"209","52273","52400","LARIVIERE-ARNONCOURT","52",21
"210","27411","27320","MOISVILLE","27",23
"211","63366","63490","SAINT-JEAN-EN-VAL","63",83
"212","03263","03220","SAINT-VOIR","03",83
"213","38114","38550","CLONAS-SUR-VAREZE","38",82
"214","55437","55150","ROMAGNE-SOUS-LES-COTES","55",41
"215","76375","76460","INGOUVILLE","76",23
"216","76159","76450","CANY-BARVILLE","76",23
"217","61351","61120","ROIVILLE","61",25
"218","64232","64450","GARLEDE-MONDEBAT","64",72
"219","60069","60620","BETZ","60",22
"220","48061","48400","FLORAC","48",91
"221","46105","46090","FLAUJAC-POUJOLS","46",73
"222","40152","40260","LESPERON","40",72
"223","27326","27120","HECOURT","27",23
"224","33543","33490","VERDELAIS","33",72
"225","47047","47350","CAMBES","47",72
"226","29063","29770","GOULIEN","29",53
"227","03169","03500","MEILLARD","03",83
"228","29114","29640","LANNEANOU","29",53
"229","68164","68240","KIENTZHEIM","68",42
"230","87119","87260","PIERRE-BUFFIERE","87",74
"231","08409","08200","SEDAN","08",21
"232","27166","27160","CONDE-SUR-ITON","27",23
"233","27695","27110","VILLEZ-SUR-LE-NEUBOURG","27",23
"234","01249","01700","MIRIBEL","01",82
"235","21245","21380","EPAGNY","21",26
"236","45115","45320","COURTENAY","45",24
"237","25143","25440","CHAY","25",43
"238","89102","89240","CHEVANNES","89",26
"239","88017","88300","AULNOIS","88",41
"240","62720","62120","ROMBLY","62",31
